session_pk,session_id,learner_id,username,session_game_type,session_status,start_time,end_time,total_score,time_limit,gamequestion_id,item_id,question_text,correct_answer,estimated_difficulty,question_game_type,response_id,response_user_id,response_username,user_answer,correct,time_taken,answered_at,difficulty_level
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1105,25,Identify the concept for combining numbers with symbols like plus and minus.,expressions,master,non_coding,890.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.011810+00:00,4
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1106,33,Select the term for the operator that raises a number to a power,exponent,beginner,non_coding,891.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.029951+00:00,1
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1109,89,Spot the term for information generated by a running program,output,master,non_coding,892.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.032663+00:00,4
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1101,126,Identify the error when using an undefined variable name,NameError,beginner,non_coding,893.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.035419+00:00,1
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1102,127,Name the error from an operation on a value of the wrong type,TypeError,beginner,non_coding,894.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.038590+00:00,1
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1104,134,Spot the feature that allows getting the last item with index minus one,Slicing,intermediate,non_coding,895.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.041656+00:00,2
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1103,135,Identify the operation that combines strings end to end,Concatenation,intermediate,non_coding,896.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.044827+00:00,2
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1107,201,Identify the operator that checks if two values are not equal,inequality,intermediate,non_coding,897.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.049041+00:00,2
224,b1118763-b661-419d-974f-00425a829d3f,8,JohnDoe,crossword,completed,2025-10-26 05:13:10.965360+00:00,2025-10-26 05:13:49.054570+00:00,0,300,1108,204,Spot the feature that allows combining comparisons with logical operators,expression,intermediate,non_coding,898.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:13:49.051885+00:00,2
225,fcbc32c5-468b-49e7-b4ed-89043f54540d,8,JohnDoe,crossword,completed,2025-10-26 05:14:34.752119+00:00,2025-10-26 05:16:19.164066+00:00,1,300,1112,29,Spot the term for the basic mathematical symbols.,operators,intermediate,non_coding,899.0,8.0,JohnDoe,,0,0.0,2025-10-26 05:16:19.126460+00:00,2
